Land-Ocean: Global Means,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1991,0.42,0.5,0.35,0.51,0.34,0.53,0.47,0.4,0.44,0.28,0.29,0.31,0.4,0.41,0.44,0.4,0.46,0.34
1992,0.47,0.41,0.47,0.27,0.3,0.26,0.09,0.08,-0.01,0.06,0.03,0.21,0.22,0.23,0.4,0.35,0.14,0.03
1993,0.34,0.37,0.36,0.27,0.28,0.23,0.25,0.11,0.12,0.23,0.04,0.18,0.23,0.23,0.31,0.31,0.2,0.13
1994,0.26,0.03,0.3,0.41,0.28,0.44,0.3,0.22,0.33,0.42,0.45,0.38,0.32,0.3,0.16,0.33,0.32,0.4
1995,0.52,0.79,0.47,0.46,0.28,0.42,0.45,0.46,0.34,0.47,0.44,0.25,0.45,0.46,0.56,0.41,0.44,0.42
1996,0.24,0.47,0.33,0.32,0.28,0.25,0.36,0.48,0.25,0.2,0.39,0.37,0.33,0.32,0.32,0.31,0.37,0.28
1997,0.3,0.41,0.52,0.35,0.36,0.54,0.34,0.43,0.52,0.6,0.64,0.58,0.47,0.45,0.36,0.41,0.44,0.59
1998,0.58,0.88,0.64,0.64,0.67,0.76,0.68,0.66,0.42,0.43,0.44,0.56,0.61,0.61,0.68,0.65,0.7,0.43
1999,0.49,0.65,0.32,0.33,0.28,0.36,0.38,0.32,0.39,0.34,0.37,0.42,0.39,0.4,0.57,0.31,0.35,0.37
2000,0.26,0.56,0.55,0.57,0.36,0.39,0.38,0.42,0.4,0.27,0.31,0.28,0.4,0.41,0.41,0.49,0.4,0.33
2001,0.46,0.44,0.56,0.51,0.58,0.52,0.59,0.5,0.52,0.51,0.73,0.56,0.54,0.52,0.4,0.55,0.54,0.59
2002,0.78,0.79,0.88,0.58,0.63,0.53,0.61,0.53,0.64,0.55,0.59,0.44,0.63,0.64,0.71,0.7,0.55,0.59
2003,0.75,0.59,0.6,0.55,0.61,0.48,0.58,0.65,0.63,0.73,0.53,0.75,0.62,0.6,0.59,0.59,0.57,0.63
2004,0.58,0.73,0.64,0.62,0.39,0.44,0.26,0.47,0.51,0.61,0.73,0.51,0.54,0.56,0.69,0.55,0.39,0.62
2005,0.75,0.61,0.74,0.68,0.63,0.65,0.62,0.62,0.71,0.75,0.74,0.68,0.68,0.67,0.62,0.69,0.63,0.73
2006,0.56,0.73,0.63,0.49,0.5,0.65,0.55,0.71,0.65,0.69,0.73,0.79,0.64,0.63,0.66,0.54,0.64,0.69
2007,1.02,0.7,0.72,0.75,0.68,0.61,0.6,0.6,0.6,0.59,0.59,0.49,0.66,0.69,0.84,0.72,0.6,0.59
2008,0.3,0.38,0.74,0.53,0.49,0.49,0.6,0.47,0.61,0.65,0.69,0.54,0.54,0.54,0.39,0.59,0.52,0.65
2009,0.65,0.54,0.54,0.6,0.66,0.65,0.71,0.68,0.73,0.66,0.81,0.68,0.66,0.65,0.58,0.6,0.68,0.73
2010,0.76,0.84,0.92,0.84,0.76,0.68,0.64,0.66,0.63,0.7,0.82,0.45,0.73,0.74,0.76,0.84,0.66,0.72
2011,0.52,0.48,0.65,0.65,0.52,0.61,0.7,0.73,0.58,0.66,0.59,0.61,0.61,0.6,0.49,0.6,0.68,0.61
2012,0.5,0.49,0.57,0.71,0.77,0.65,0.58,0.64,0.71,0.79,0.79,0.53,0.64,0.65,0.53,0.69,0.62,0.76
2013,0.71,0.63,0.67,0.56,0.62,0.71,0.62,0.7,0.77,0.69,0.85,0.7,0.69,0.67,0.62,0.62,0.67,0.77
2014,0.76,0.56,0.8,0.81,0.85,0.67,0.59,0.81,0.85,0.8,0.67,0.8,0.75,0.74,0.67,0.82,0.69,0.77
2015,0.85,0.9,0.96,0.77,0.79,0.81,0.74,0.82,0.84,1.08,1.06,1.16,0.9,0.87,0.85,0.84,0.79,0.99
2016,1.17,1.37,1.36,1.12,0.95,0.82,0.84,1.01,0.91,0.88,0.91,0.86,1.02,1.04,1.23,1.14,0.89,0.9
2017,1.02,1.14,1.16,0.94,0.9,0.72,0.82,0.87,0.79,0.9,0.88,0.94,0.92,0.92,1.01,1,0.8,0.86
2018,0.82,0.85,0.9,0.9,0.82,0.78,0.83,0.77,0.8,1,0.83,0.92,0.85,0.85,0.87,0.87,0.79,0.88
2019,0.93,0.95,1.18,1.02,0.86,0.92,0.94,0.94,0.92,1.02,1,1.1,0.98,0.97,0.93,1.02,0.93,0.98
